timestamp,rack_zone,cpu_load_pct,power_draw_kw,ambient_temp_c,inlet_temp_c,outlet_temp_c,humidity_pct,fan_speed_pct,cooling_efficiency_pct,pue,anomaly_flag,anomaly_type
2026-01-01 00:00:00,A1,41.07,16.19,22.09,22.19,31.26,58.73,42.77,89.43,1.376,0,normal
2026-01-01 00:15:00,A2,39.73,16.15,22.35,22.45,31.51,49.5,41.97,89.9,1.328,0,normal
2026-01-01 00:30:00,B1,41.87,16.4,21.43,22.46,32.2,53.27,40.72,90.68,1.377,0,normal
2026-01-01 00:45:00,B2,44.29,15.85,21.16,21.78,31.91,53.97,38.04,90.66,1.341,0,normal
2026-01-01 01:00:00,A1,40.44,16.35,22.06,22.6,32.54,54.2,39.7,91.32,1.335,0,normal
2026-01-01 01:15:00,A2,40.85,16.15,21.81,22.4,31.54,56.73,46.08,89.75,1.352,0,normal
2026-01-01 01:30:00,B1,45.66,16.57,22.39,22.51,32.69,56.6,44.79,90.79,1.354,0,normal
2026-01-01 01:45:00,B2,44.2,16.23,21.99,22.07,31.07,56.77,46.01,90.91,1.361,0,normal
2026-01-01 02:00:00,A1,41.75,16.05,22.19,22.42,31.92,57.14,42.6,89.64,1.343,0,normal
2026-01-01 02:15:00,A2,44.71,15.97,21.13,21.78,31.71,53.64,43.87,87.13,1.352,0,normal
2026-01-01 02:30:00,B1,42.85,17.28,23.29,23.22,32.03,52.94,48.23,88.38,1.351,0,normal
2026-01-01 02:45:00,B2,43.4,17.13,22.11,22.05,32.56,56.36,47.4,92.99,1.371,0,normal
2026-01-01 03:00:00,A1,45.65,17.09,22.69,22.99,33.31,53.94,47.21,86.72,1.373,0,normal
2026-01-01 03:15:00,A2,41.03,15.95,21.84,22.17,31.98,51.7,43.99,92.88,1.357,0,normal
2026-01-01 03:30:00,B1,42.03,16.21,22.6,22.35,31.57,57.1,45.03,87.11,1.374,0,normal
2026-01-01 03:45:00,B2,45.35,17.06,21.71,22.38,32.12,57.83,45.46,88.63,1.364,0,normal
2026-01-01 04:00:00,A1,44.79,17.56,22.86,23.19,33.25,57.96,44.72,89.16,1.367,0,normal
2026-01-01 04:15:00,A2,48.48,17.06,22.47,22.47,31.94,54.71,44.5,92.69,1.367,0,normal
2026-01-01 04:30:00,B1,46.02,16.46,22.8,22.72,32.45,55.42,47.5,89.75,1.355,0,normal
2026-01-01 04:45:00,B2,45.27,17.6,23.31,22.75,32.88,56.79,42.03,89.29,1.356,0,normal
2026-01-01 05:00:00,A1,52.62,17.15,22.26,23.04,32.58,52.09,49.98,87.35,1.378,0,normal
2026-01-01 05:15:00,A2,48.97,16.97,22.7,22.77,32.85,55.65,45.1,90.31,1.386,0,normal
2026-01-01 05:30:00,B1,50.07,17.58,23.51,22.76,32.06,53.52,43.06,88.14,1.385,0,normal
2026-01-01 05:45:00,B2,46.87,16.61,24.62,23.24,32.7,54.62,44.38,88.79,1.384,0,normal
2026-01-01 06:00:00,A1,49.35,18.06,23.4,23.87,33.63,52.7,44.64,88.53,1.358,0,normal
2026-01-01 06:15:00,A2,51.27,18.32,23.96,23.71,33.98,54.83,45.61,90.11,1.388,0,normal
